yourlist:M202202226320BA52A5CE8FCD097CB85A53697A3542D570B	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC584105	A0A7M7RCJ8	A0A7M7RCJ8_STRPU	unreviewed	FMN hydroxy acid dehydrogenase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	378
LOC574807	A0A7M7PLE0	A0A7M7PLE0_STRPU	unreviewed	BTB domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	721
LOC100893837	A0A7M7P7I2	A0A7M7P7I2_STRPU	unreviewed	tRNA-synt_2c domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	110
LOC755896	A0A7M7P7M9	A0A7M7P7M9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	996
LOC100892324	A0A7M7P7P7	A0A7M7P7P7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	913
LOC100888873	A0A7M7NQY6	A0A7M7NQY6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	419
LOC575956	A0A7M7R9K5	A0A7M7R9K5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	763
LOC580566	A0A7M7N5U2	A0A7M7N5U2_STRPU	unreviewed	Protein kinase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	634
LOC763207	A0A7M7PTH7	A0A7M7PTH7_STRPU	unreviewed	Carboxylic ester hydrolase (EC 3.1.1.-)		Strongylocentrotus purpuratus (Purple sea urchin)	602
LOC576291	A0A7M7N5W3	A0A7M7N5W3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	677
LOC591772	A0A7M7PTM7	A0A7M7PTM7_STRPU	unreviewed	DAO domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	344
LOC115928508	A0A7M7PKD9	A0A7M7PKD9_STRPU	unreviewed	Ig-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	190
LOC574782	A0A7M7PQ18	A0A7M7PQ18_STRPU	unreviewed	Pyruvate carboxylase (EC 6.4.1.1)		Strongylocentrotus purpuratus (Purple sea urchin)	982
LOC574782	A0A7M7PS69	A0A7M7PS69_STRPU	unreviewed	Pyruvate carboxylase (EC 6.4.1.1)		Strongylocentrotus purpuratus (Purple sea urchin)	1215
LOC574782	A0A7M7PSU6	A0A7M7PSU6_STRPU	unreviewed	Pyruvate carboxylase (EC 6.4.1.1)		Strongylocentrotus purpuratus (Purple sea urchin)	1205
LOC574782	A0A7M7PTA6	A0A7M7PTA6_STRPU	unreviewed	Pyruvate carboxylase (EC 6.4.1.1)		Strongylocentrotus purpuratus (Purple sea urchin)	988
LOC575844	A0A7M7N625	A0A7M7N625_STRPU	unreviewed	HD domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	578
LOC575844	A0A7M7N7S9	A0A7M7N7S9_STRPU	unreviewed	HD domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	579
LOC100893812	A0A7M7LTG4	A0A7M7LTG4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	688
LOC105441404	A0A7M7PSQ4	A0A7M7PSQ4_STRPU	unreviewed	EGF-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	221
LOC756678	A0A7M7HLC6	A0A7M7HLC6_STRPU	unreviewed	F-box domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1058
LOC756678	A0A7M7HPP1	A0A7M7HPP1_STRPU	unreviewed	F-box domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1043
LOC756678	A0A7M7LW85	A0A7M7LW85_STRPU	unreviewed	F-box domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1051
LOC100888529	A0A7M7GJJ8	A0A7M7GJJ8_STRPU	unreviewed	PBPe domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	934
LOC752017	A0A7M7LIJ7	A0A7M7LIJ7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	486
LOC105441736	A0A7M7SZL9	A0A7M7SZL9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	111
LOC579431	A0A7M7TGK9	A0A7M7TGK9_STRPU	unreviewed	Stathmin		Strongylocentrotus purpuratus (Purple sea urchin)	147
LOC105443400	A0A7M7T5U5	A0A7M7T5U5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	390
LOC115918110	A0A7M7NYZ2	A0A7M7NYZ2_STRPU	unreviewed	Heparosan-N-sulfate-glucuronate 5-epimerase (EC 5.1.3.17)		Strongylocentrotus purpuratus (Purple sea urchin)	480
LOC105443099	A0A7M7P5R2	A0A7M7P5R2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3611
LOC574758	A0A7M7TG11	A0A7M7TG11_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	291
LOC100892797	A0A7M7NXH3	A0A7M7NXH3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	481
LOC100892797	A0A7M7NYW9	A0A7M7NYW9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	506
LOC100892797	A0A7M7NZK2	A0A7M7NZK2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	445
LOC100890913	A0A7M7P8V1	A0A7M7P8V1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1675
LOC100889648	A0A7M7P4G1	A0A7M7P4G1_STRPU	unreviewed	G_PROTEIN_RECEP_F2_4 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	908
LOC105437276	A0A7M7PMF2	A0A7M7PMF2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1620
LOC105437276	A0A7M7PMQ4	A0A7M7PMQ4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1594
LOC580556	A0A7M7N0H1	A0A7M7N0H1_STRPU	unreviewed	ETS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	636
LOC580556	A0A7M7RBI6	A0A7M7RBI6_STRPU	unreviewed	ETS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	635
LOC100891818	A0A7M7NFP2	A0A7M7NFP2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	736
LOC100891818	A0A7M7NH76	A0A7M7NH76_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	728
LOC577510	A0A7M7HMD8	A0A7M7HMD8_STRPU	unreviewed	CAP-Gly domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	3498
LOC577510	A0A7M7HQ14	A0A7M7HQ14_STRPU	unreviewed	CAP-Gly domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	3453
LOC577510	A0A7M7HQ25	A0A7M7HQ25_STRPU	unreviewed	CAP-Gly domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	3499
LOC100888621	A0A7M7N374	A0A7M7N374_STRPU	unreviewed	60S acidic ribosomal protein P0		Strongylocentrotus purpuratus (Purple sea urchin)	313
LOC100893967	A0A7M7GG96	A0A7M7GG96_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	951
LOC592174	A0A7M7GFR7	A0A7M7GFR7_STRPU	unreviewed	AAA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	190
LOC100890104	A0A7M7SSN3	A0A7M7SSN3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1127
LOC575288	A0A7M7NVY2	A0A7M7NVY2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	436
LOC575549	A0A7M7NVK1	A0A7M7NVK1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4772
LOC576970	A0A7M7P3E0	A0A7M7P3E0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	689
LOC580346	A0A7M7RE08	A0A7M7RE08_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	297
LOC100888109	A0A7M7P7P5	A0A7M7P7P5_STRPU	unreviewed	Constitutive NOS (EC 1.14.13.39) (NC-NOS) (NOS type I) (Neuronal NOS) (Nitric oxide synthase, brain) (Peptidyl-cysteine S-nitrosylase NOS1)		Strongylocentrotus purpuratus (Purple sea urchin)	1811
LOC100888109	A0A7M7P9T9	A0A7M7P9T9_STRPU	unreviewed	Constitutive NOS (EC 1.14.13.39) (NC-NOS) (NOS type I) (Neuronal NOS) (Nitric oxide synthase, brain) (Peptidyl-cysteine S-nitrosylase NOS1)		Strongylocentrotus purpuratus (Purple sea urchin)	1801
LOC100888109	A0A7M7PCV8	A0A7M7PCV8_STRPU	unreviewed	Constitutive NOS (EC 1.14.13.39) (NC-NOS) (NOS type I) (Neuronal NOS) (Nitric oxide synthase, brain) (Peptidyl-cysteine S-nitrosylase NOS1)		Strongylocentrotus purpuratus (Purple sea urchin)	1797
LOC576131	A0A7M7HJ90	A0A7M7HJ90_STRPU	unreviewed	Protein Wnt		Strongylocentrotus purpuratus (Purple sea urchin)	363
LOC576131	A0A7M7RCC0	A0A7M7RCC0_STRPU	unreviewed	Protein Wnt		Strongylocentrotus purpuratus (Purple sea urchin)	364
LOC115918120	A0A7M7N1K4	A0A7M7N1K4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	959
LOC115918120	A0A7M7N1R0	A0A7M7N1R0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	885
LOC115918120	A0A7M7N1S5	A0A7M7N1S5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	811
LOC115918120	A0A7M7N1T0	A0A7M7N1T0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	939
LOC757301	A0A7M7G1A3	A0A7M7G1A3_STRPU	unreviewed	PDZ domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	97
LOC105445128	A0A7M7HMN5	A0A7M7HMN5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1593
LOC105445128	A0A7M7N7K5	A0A7M7N7K5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1584
LOC593212	A0A7M7PG85	A0A7M7PG85_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	856
LOC593212	A0A7M7PHQ6	A0A7M7PHQ6_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	922
LOC100892488	A0A7M7HM26	A0A7M7HM26_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1156
LOC582841	A0A7M7HBJ1	A0A7M7HBJ1_STRPU	unreviewed	Phosphatidate phosphatase (EC 3.1.3.4)		Strongylocentrotus purpuratus (Purple sea urchin)	978
LOC582841	A0A7M7HIQ0	A0A7M7HIQ0_STRPU	unreviewed	Phosphatidate phosphatase (EC 3.1.3.4)		Strongylocentrotus purpuratus (Purple sea urchin)	998
LOC105443836	A0A7M7T4S5	A0A7M7T4S5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	199
LOC583524	A0A7M7PCY6	A0A7M7PCY6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1185
LOC115929229	A0A7M7PNF5	A0A7M7PNF5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	348
LOC115929229	A0A7M7PQ78	A0A7M7PQ78_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	541
LOC591210	A0A7M7REU6	A0A7M7REU6_STRPU	unreviewed	UBC core domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	448
LOC115929441	A0A7M7PN30	A0A7M7PN30_STRPU	unreviewed	SH3 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1342
LOC115929441	A0A7M7PPP8	A0A7M7PPP8_STRPU	unreviewed	SH3 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1352
LOC592605	A0A7M7NUZ1	A0A7M7NUZ1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3235
LOC582144	A0A7M7RH07	A0A7M7RH07_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	826
LOC115920565	A0A7M7N7P6	A0A7M7N7P6_STRPU	unreviewed	P-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	187
LOC100889575	A0A7M7HJD1	A0A7M7HJD1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	237
LOC100889178	A0A7M7N312	A0A7M7N312_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	466
LOC582769	A0A7M7HKD9	A0A7M7HKD9_STRPU	unreviewed	Mitogen-activated protein kinase kinase kinase (EC 2.7.11.25)		Strongylocentrotus purpuratus (Purple sea urchin)	1027
LOC582769	A0A7M7RFI7	A0A7M7RFI7_STRPU	unreviewed	Mitogen-activated protein kinase kinase kinase (EC 2.7.11.25)		Strongylocentrotus purpuratus (Purple sea urchin)	1065
LOC589614	A0A7M7PNY7	A0A7M7PNY7_STRPU	unreviewed	Transporter		Strongylocentrotus purpuratus (Purple sea urchin)	683
LOC105437760	A0A7M7PT45	A0A7M7PT45_STRPU	unreviewed	DH domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	970
LOC105437760	A0A7M7T5D6	A0A7M7T5D6_STRPU	unreviewed	DH domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	994
LOC581977	A0A7M7RGY6	A0A7M7RGY6_STRPU	unreviewed	Methyltranfer_dom domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	368
LOC115922139	A0A7M7NGA3	A0A7M7NGA3_STRPU	unreviewed	Carbohydrate sulfotransferase (EC 2.8.2.-)		Strongylocentrotus purpuratus (Purple sea urchin)	363
LOC583660	A0A7M7PL43	A0A7M7PL43_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2896
LOC583660	A0A7M7PN05	A0A7M7PN05_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2860
LOC115929282	A0A7M7PM99	A0A7M7PM99_STRPU	unreviewed	EamA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	397
LOC589462	A0A7M7SW15	A0A7M7SW15_STRPU	unreviewed	cGMP-dependent protein kinase (EC 2.7.11.12)		Strongylocentrotus purpuratus (Purple sea urchin)	597
LOC582914	A0A7M7NAA2	A0A7M7NAA2_STRPU	unreviewed	SH3 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1352
LOC582914	A0A7M7SUZ8	A0A7M7SUZ8_STRPU	unreviewed	SH3 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1327
LOC100890058	A0A7M7NMA9	A0A7M7NMA9_STRPU	unreviewed	CYTH domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1133
LOC100890058	A0A7M7NMB4	A0A7M7NMB4_STRPU	unreviewed	CYTH domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1086
LOC100890058	A0A7M7NMS5	A0A7M7NMS5_STRPU	unreviewed	CYTH domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1122
LOC579368	A0A7M7NWX2	A0A7M7NWX2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	671
LOC105444488	A0A7M7PMI5	A0A7M7PMI5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	168
LOC100888814	A0A7M7PW33	A0A7M7PW33_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	258
LOC105438058	A0A7M7PBW7	A0A7M7PBW7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	187
LOC588610	A0A7M7NJD8	A0A7M7NJD8_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	786
LOC105440064	A0A7M7LSZ8	A0A7M7LSZ8_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	414
LOC581957	A0A7M7RDM5	A0A7M7RDM5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	775
LOC581957	A0A7M7SSH8	A0A7M7SSH8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	777
LOC762365	A0A7M7PVF6	A0A7M7PVF6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	281
LOC765152	A0A7M7NI76	A0A7M7NI76_STRPU	unreviewed	Sulfotransfer_1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	330
LOC580453	A0A7M7NLH9	A0A7M7NLH9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3206
LOC754820	A0A7M7G3W9	A0A7M7G3W9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	337
LOC586179	A0A7M7RGD6	A0A7M7RGD6_STRPU	unreviewed	VWFA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1118
LOC578358	A0A7M7N8W5	A0A7M7N8W5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	645
LOC578358	A0A7M7N915	A0A7M7N915_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	687
LOC578358	A0A7M7N929	A0A7M7N929_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	685
LOC105441299	A0A7M7NJC6	A0A7M7NJC6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	778
LOC578003	A0A7M7RB35	A0A7M7RB35_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	597
LOC100889906	A0A7M7SXX1	A0A7M7SXX1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1107
LOC585120	A0A7M7RCZ2	A0A7M7RCZ2_STRPU	unreviewed	Ribose-phosphate diphosphokinase (EC 2.7.6.1)		Strongylocentrotus purpuratus (Purple sea urchin)	338
LOC100892667	A0A7M7NHT8	A0A7M7NHT8_STRPU	unreviewed	Sulfatase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	634
LOC582554	A0A7M7LLG1	A0A7M7LLG1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	194
LOC582554	A0A7M7RC48	A0A7M7RC48_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	194
LOC100890407	A0A7M7GIR1	A0A7M7GIR1_STRPU	unreviewed	IRF-3 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	449
LOC590272	A0A7M7GFT2	A0A7M7GFT2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1131
LOC590272	A0A7M7HK74	A0A7M7HK74_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1058
LOC590272	A0A7M7HMU0	A0A7M7HMU0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1116
LOC590272	A0A7M7LTF6	A0A7M7LTF6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1132
LOC105443116	A0A7M7P0I3	A0A7M7P0I3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1650
LOC105443116	A0A7M7P1M6	A0A7M7P1M6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1216
LOC586176	A0A7M7PUC7	A0A7M7PUC7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	239
LOC115927664	A0A7M7PDL5	A0A7M7PDL5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	230
LOC100890003	A0A7M7PIX9	A0A7M7PIX9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	710
LOC105436882	A0A7M7PA83	A0A7M7PA83_STRPU	unreviewed	Lipase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	270
LOC580176	A0A7M7RGD9	A0A7M7RGD9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	727
LOC580176	A0A7M7T383	A0A7M7T383_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	651
LOC100891282	A0A7M7GFE8	A0A7M7GFE8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	186
LOC100891282	A0A7M7LT64	A0A7M7LT64_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	390
LOC100891282	A0A7M7PA80	A0A7M7PA80_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	378
LOC105439627	A0A7M7N224	A0A7M7N224_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	340
LOC589863	A0A7M7T4Z5	A0A7M7T4Z5_STRPU	unreviewed	Aldose 1-epimerase (EC 5.1.3.3)		Strongylocentrotus purpuratus (Purple sea urchin)	341
LOC582140	A0A7M7N4S7	A0A7M7N4S7_STRPU	unreviewed	RBR-type E3 ubiquitin transferase (EC 2.3.2.31)		Strongylocentrotus purpuratus (Purple sea urchin)	1356
LOC578337	A0A7M7RD67	A0A7M7RD67_STRPU	unreviewed	Aldedh domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	530
LOC105440282	A0A7M7PQX5	A0A7M7PQX5_STRPU	unreviewed	Peptidase_M14 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	337
LOC105438079	A0A7M7PPR4	A0A7M7PPR4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2231
LOC105442517	A0A7M7P679	A0A7M7P679_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	427
LOC105447412	A0A7M7T4C4	A0A7M7T4C4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	504
LOC100889062	A0A7M7MZY4	A0A7M7MZY4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2156
LOC100889062	A0A7M7N2U9	A0A7M7N2U9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2332
LOC762712	A0A7M7G416	A0A7M7G416_STRPU	unreviewed	Lipase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	345
LOC100891526	A0A7M7HM13	A0A7M7HM13_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	362
LOC752454	A0A7M7LKU6	A0A7M7LKU6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	108
LOC115921266	A0A7M7SVH5	A0A7M7SVH5_STRPU	unreviewed	Fibrinogen C-terminal domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	230
LOC576702	A0A7M7NII0	A0A7M7NII0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	448
LOC581329	A0A7M7HHH4	A0A7M7HHH4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	818
LOC100894147	A0A7M7N7J8	A0A7M7N7J8_STRPU	unreviewed	Cell division protein kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (Cyclin-dependent kinase 7)		Strongylocentrotus purpuratus (Purple sea urchin)	349
LOC584174	A0A7M7P6H2	A0A7M7P6H2_STRPU	unreviewed	Integrin_alpha2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1013
LOC105446772	A0A7M7NLU6	A0A7M7NLU6_STRPU	unreviewed	Guanylate cyclase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	366
LOC579021	A0A7M7NJ04	A0A7M7NJ04_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	801
LOC105447244	A0A7M7LWQ2	A0A7M7LWQ2_STRPU	unreviewed	C-type lectin domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	158
LOC587311	A0A7M7PDY6	A0A7M7PDY6_STRPU	unreviewed	Aminopeptidase (EC 3.4.11.-)		Strongylocentrotus purpuratus (Purple sea urchin)	933
LOC587311	A0A7M7PFB5	A0A7M7PFB5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1001
LOC762753	A0A7M7PM44	A0A7M7PM44_STRPU	unreviewed	Fibrillar collagen NC1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1752
LOC100889943	A0A7M7GJ93	A0A7M7GJ93_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	324
LOC577326	A0A7M7HGC4	A0A7M7HGC4_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	953
LOC577326	A0A7M7P2C6	A0A7M7P2C6_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	952
LOC577326	A0A7M7P3T5	A0A7M7P3T5_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	952
LOC115929531	A0A7M7PRL7	A0A7M7PRL7_STRPU	unreviewed	Homeobox domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	181
LOC115918190	A0A7M7NQI2	A0A7M7NQI2_STRPU	unreviewed	G_PROTEIN_RECEP_F2_4 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	664
LOC105443296	A0A7M7HNB0	A0A7M7HNB0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	128
LOC100892685	A0A7M7PPS1	A0A7M7PPS1_STRPU	unreviewed	Homeobox domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	309
LOC577722	A0A7M7NPW2	A0A7M7NPW2_STRPU	unreviewed	SAP domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1084
LOC575524	A0A7M7RCY3	A0A7M7RCY3_STRPU	unreviewed	COMM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	200
